FID,GID,the_geom,NOME,endereco,linha,DESCRICAO,TEM,TLM,FONTE,ANO_REF
vw_Metro_MetroEstacoes_13_09_2018.fid--33718300_17dd80698e1_-5cf7,24,POINT (-38.60854933972584 -3.8509157654561603),Raquel de Queiroz,"Av. Central Sul, 77",Metro Sul,"<br><div><strong>Endereço: </strong>Av. Central Sul, 77<br><div><strong>Tipo: </strong>Superficie<br><div><strong>Linha: </strong>Metro Sul",Estações de Metrô,Metro Sul,METROFOR / IPLANFOR,2018
vw_Metro_MetroEstacoes_13_09_2018.fid--33718300_17dd80698e1_-5cf6,25,POINT (-38.620214479398044 -3.8673650923671694),Virgilio Tavora,Av. Parque Sul,Metro Sul,<br><div><strong>Endereço: </strong>Av. Parque Sul<br><div><strong>Tipo: </strong>Superficie<br><div><strong>Linha: </strong>Metro Sul,Estações de Metrô,Metro Sul,METROFOR / IPLANFOR,2018
vw_Metro_MetroEstacoes_13_09_2018.fid--33718300_17dd80698e1_-5cf5,26,POINT (-38.62560767348204 -3.8779029596441617),Maracanau,Praça Henrique Mendes,Metro Sul,<br><div><strong>Endereço: </strong>Praça Henrique Mendes<br><div><strong>Tipo: </strong>Superficie<br><div><strong>Linha: </strong>Metro Sul,Estações de Metrô,Metro Sul,METROFOR / IPLANFOR,2018
vw_Metro_MetroEstacoes_13_09_2018.fid--33718300_17dd80698e1_-5cf4,27,POINT (-38.6269535526354 -3.8875412996711085),Jereissati,"Rua Manoel Pereira, 389",Metro Sul,"<br><div><strong>Endereço: </strong>Rua Manoel Pereira, 389<br><div><strong>Tipo: </strong>Superficie<br><div><strong>Linha: </strong>Metro Sul",Estações de Metrô,Metro Sul,METROFOR / IPLANFOR,2018
vw_Metro_MetroEstacoes_13_09_2018.fid--33718300_17dd80698e1_-5cf3,28,POINT (-38.62071516202947 -3.8947200330526544),Carlito Benevides,"R. Dezessete, 01",Metro Sul,"<br><div><strong>Endereço: </strong>R. Dezessete, 01<br><div><strong>Tipo: </strong>Superficie<br><div><strong>Linha: </strong>Metro Sul",Estações de Metrô,Metro Sul,METROFOR / IPLANFOR,2018
vw_Metro_MetroEstacoes_13_09_2018.fid--33718300_17dd80698e1_-5cf2,29,POINT (-38.595472651061314 -3.8325226394344676),Alto Alegre,Av. do Anel Viário com Viaduto sobre a Via Férrea,Metro Sul,<br><div><strong>Endereço: </strong>Av. do Anel Viário com Viaduto sobre a Via Férrea<br><div><strong>Tipo: </strong>Superficie<br><div><strong>Linha: </strong>Metro Sul,Estações de Metrô,Metro Sul,METROFOR / IPLANFOR,2018
vw_Metro_MetroEstacoes_13_09_2018.fid--33718300_17dd80698e1_-5cf1,30,POINT (-38.62192560139324 -3.7696464827110074),Estação Jurema,"Av. Dom Almeida Lustosa, S/N, esquina com as R. Taubaté e R. Torreon",Metro Oeste,"<br><div><strong>Endereço: </strong>Av. Dom Almeida Lustosa, S/N, esquina com as R. Taubaté e R. Torreon<br><div><strong>Tipo: </strong>Superficie<br><div><strong>Linha: </strong>Metro Oeste",Estações de Metrô,Metro Oeste,METROFOR / IPLANFOR,2018
vw_Metro_MetroEstacoes_13_09_2018.fid--33718300_17dd80698e1_-5cf0,31,POINT (-38.6399817023831 -3.76262080038451),Estação Araturi,"Av. Contorno Oeste Norte, 1508",Metro Oeste,"<br><div><strong>Endereço: </strong>Av. Contorno Oeste Norte, 1508<br><div><strong>Tipo: </strong>Superficie<br><div><strong>Linha: </strong>Metro Oeste",Estações de Metrô,Metro Oeste,METROFOR / IPLANFOR,2018
vw_Metro_MetroEstacoes_13_09_2018.fid--33718300_17dd80698e1_-5cef,32,POINT (-38.602911192295444 -3.749537669557247),Estação São Miguel,"R. São Mateus, 201",Metro Oeste,"<br><div><strong>Endereço: </strong>R. São Mateus, 201<br><div><strong>Tipo: </strong>Superficie<br><div><strong>Linha: </strong>Metro Oeste",Estações de Metrô,Metro Oeste,METROFOR / IPLANFOR,2018
vw_Metro_MetroEstacoes_13_09_2018.fid--33718300_17dd80698e1_-5cee,33,POINT (-38.61222477452036 -3.75809041483582),Estação Parque Albano,"Av. F, esquina com a avenida J",Metro Oeste,"<br><div><strong>Endereço: </strong>Av. F, esquina com a avenida J<br><div><strong>Tipo: </strong>Superficie<br><div><strong>Linha: </strong>Metro Oeste",Estações de Metrô,Metro Oeste,METROFOR / IPLANFOR,2018
vw_Metro_MetroEstacoes_13_09_2018.fid--33718300_17dd80698e1_-5ced,34,POINT (-38.615198518883886 -3.764923695043504),Estação Conjunto Ceará,"Av. J, esquina com a rua 1038",Metro Oeste,"<br><div><strong>Endereço: </strong>Av. J, esquina com a rua 1038<br><div><strong>Tipo: </strong>Superficie<br><div><strong>Linha: </strong>Metro Oeste",Estações de Metrô,Metro Oeste,METROFOR / IPLANFOR,2018
vw_Metro_MetroEstacoes_13_09_2018.fid--33718300_17dd80698e1_-5cec,35,POINT (-38.66073243610594 -3.7358018105605866),Estação Caucaia,"R. Coronel Correia, S/N",Metro Oeste,"<br><div><strong>Endereço: </strong>R. Coronel Correia, S/N<br><div><strong>Tipo: </strong>Superficie<br><div><strong>Linha: </strong>Metro Oeste",Estações de Metrô,Metro Oeste,METROFOR / IPLANFOR,2018
vw_Metro_MetroEstacoes_13_09_2018.fid--33718300_17dd80698e1_-5ceb,36,POINT (-38.53848339421539 -3.718808424354632),Estação Moura Brasil,"R. Adarias de Lima, quase esquina com rua Padre Mororó",Metro Oeste,"<br><div><strong>Endereço: </strong>R. Adarias de Lima, quase esquina com rua Padre Mororó<br><div><strong>Tipo: </strong>Superficie<br><div><strong>Linha: </strong>Metro Oeste",Estações de Metrô,Metro Oeste,METROFOR / IPLANFOR,2018
vw_Metro_MetroEstacoes_13_09_2018.fid--33718300_17dd80698e1_-5cea,37,POINT (-38.56489040221553 -3.720299985254741),Estação Álvaro Weyne,"Av. Tenente Lisboa, 3566",Metro Oeste,"<br><div><strong>Endereço: </strong>Av. Tenente Lisboa, 3566<br><div><strong>Tipo: </strong>Superficie<br><div><strong>Linha: </strong>Metro Oeste",Estações de Metrô,Metro Oeste,METROFOR / IPLANFOR,2018
vw_Metro_MetroEstacoes_13_09_2018.fid--33718300_17dd80698e1_-5ce9,38,POINT (-38.581627636636775 -3.7302688675670916),Estação Padre Andrade,"Av. Tenente Lisboa, 870",Metro Oeste,"<br><div><strong>Endereço: </strong>Av. Tenente Lisboa, 870<br><div><strong>Tipo: </strong>Superficie<br><div><strong>Linha: </strong>Metro Oeste",Estações de Metrô,Metro Oeste,METROFOR / IPLANFOR,2018
vw_Metro_MetroEstacoes_13_09_2018.fid--33718300_17dd80698e1_-5ce8,39,POINT (-38.591621200778604 -3.7346958703621733),Estação Antônio Bezerra,"R. José Aciolly, 244",Metro Oeste,"<br><div><strong>Endereço: </strong>R. José Aciolly, 244<br><div><strong>Tipo: </strong>Superficie<br><div><strong>Linha: </strong>Metro Oeste",Estações de Metrô,Metro Oeste,METROFOR / IPLANFOR,2018
